Date,Location,Gear,Treatment,Cage,Bag,Oyster,Height,Length,Width,Cup.ratio,Shell.shape,Tag.num
6/14/22,Inside,BP,BPi,,,75,35,28,9,0.26,1.44,BPi
6/14/22,Inside,BP,BPi,,,76,60,36,13,0.22,2.03,BPi
6/14/22,Inside,BP,BPi,,,77,42,29,10,0.24,1.11,BPi
6/14/22,Inside,BP,BPi,,,78,64,36,18,0.28,0.85,BPi
6/14/22,Inside,BP,BPi,,,79,60,26,14,0.23,4.04,BPi
6/14/22,Inside,BP,BPi,,,80,54,35,13,0.24,1.15,BPi
6/14/22,Inside,BP,BPi,,,81,60,32,17,0.28,1.15,BPi
6/14/22,Inside,BP,BPi,,,82,56,32,16,0.29,0.62,BPi
6/14/22,Inside,BP,BPi,,,83,29,25,9,0.31,1.17,BPi
6/14/22,Inside,BP,BPi,,,84,37,25,8,0.22,1.39,BPi
6/14/22,Inside,BP,BPi,,,85,37,28,10,0.27,0.87,BPi
6/14/22,Inside,BP,BPi,,,86,35,25,10,0.29,0.36,BPi
6/14/22,Inside,BP,BPi,,,87,50,38,15,0.30,0.71,BPi
6/14/22,Inside,BP,BPi,,,88,31,19,9,0.29,0.17,BPi
6/14/22,Inside,BP,BPi,,,89,35,23,9,0.26,0.51,BPi
6/14/22,Inside,BP,BPi,,,90,39,30,12,0.31,0.56,BPi
6/14/22,Inside,BP,BPi,,,91,30,25,9,0.30,1.02,BPi
6/14/22,Inside,BP,BPi,,,92,50,37,11,0.22,2.34,BPi
6/14/22,Inside,BP,BPi,,,93,40,24,10,0.25,0.70,BPi
6/14/22,Inside,BP,BPi,,,94,25,19,6,0.24,0.98,BPi
6/14/22,Inside,BP,BPi,,,95,27,21,7,0.26,0.91,BPi
6/14/22,Inside,BP,BPi,,,96,48,40,12,0.25,2.72,BPi
6/14/22,Outside,BP,BPo,,,1,50,34,11,0.22,1.78,BPo
6/14/22,Outside,BP,BPo,,,2,31,27,8,0.26,2.08,BPo
6/14/22,Outside,BP,BPo,,,3,50,27,11,0.22,1.92,BPo
6/14/22,Outside,BP,BPo,,,4,44,30,8,0.18,2.83,BPo
6/14/22,Outside,BP,BPo,,,5,52,38,19,0.37,0.23,BPo
6/14/22,Outside,BP,BPo,,,6,55,35,11,0.20,2.48,BPo
6/14/22,Outside,BP,BPo,,,7,52,33,14,0.27,0.51,BPo
6/14/22,Outside,BP,BPo,,,8,45,29,8,0.18,2.84,BPo
6/14/22,Outside,BP,BPo,,,9,64,36,14,0.22,2.28,BPo
6/14/22,Outside,BP,BPo,,,10,45,30,10,0.22,1.47,BPo
6/14/22,Outside,BP,BPo,,,11,28,29,10,0.36,3.01,BPo
6/14/22,Outside,BP,BPo,,,12,40,29,8,0.20,2.31,BPo
6/14/22,Outside,BP,BPo,,,13,39,26,8,0.21,1.71,BPo
6/14/22,Outside,BP,BPo,,,14,40,26,10,0.25,0.68,BPo
6/14/22,Outside,BP,BPo,,,15,42,27,12,0.29,0.22,BPo
6/14/22,Outside,BP,BPo,,,16,37,26,8,0.22,1.54,BPo
6/14/22,Outside,BP,BPo,,,17,41,30,12,0.29,0.45,BPo
6/14/22,Outside,BP,BPo,,,18,40,24,8,0.20,1.78,BPo
6/14/22,Outside,BP,BPo,,,19,38,24,8,0.21,1.43,BPo
6/14/22,Outside,BP,BPo,,,20,34,38,11,0.32,5.80,BPo
6/14/22,Outside,BP,BPo,,,21,65,41,14,0.22,2.24,BPo
6/14/22,Outside,BP,BPo,,,22,37,26,9,0.24,0.94,BPo
6/14/22,Outside,BP,BPo,,,23,48,32,9,0.19,2.75,BPo
6/14/22,Outside,BP,BPo,,,24,40,30,10,0.25,1.25,BPo
6/14/22,Outside,BP,BPo,,,25,42,27,15,0.36,0.11,BPo
6/14/22,Outside,BP,BPo,,,26,42,27,9,0.21,1.50,BPo
6/14/22,Outside,BP,BPo,,,27,37,21,9,0.24,0.87,BPo
6/14/22,Outside,BP,BPo,,,28,54,36,13,0.24,1.21,BPo
6/14/22,Outside,BP,BPo,,,29,28,28,10,0.36,2.48,BPo
6/14/22,Outside,BP,BPo,,,30,39,28,8,0.21,2.04,BPo
6/14/22,Outside,BP,BPo,,,31,41,27,10,0.24,0.83,BPo
6/14/22,Outside,BP,BPo,,,32,51,35,12,0.24,1.40,BPo
6/14/22,Outside,BP,BPo,,,33,39,27,8,0.21,1.85,BPo
6/14/22,Outside,BP,BPo,,,34,65,40,15,0.23,1.67,BPo
6/14/22,Outside,BP,BPo,,,35,57,31,19,0.33,0.92,BPo
6/14/22,Outside,BP,BPo,,,36,58,35,15,0.26,0.82,BPo
6/14/22,Outside,BP,BPo,,,37,45,26,10,0.22,1.44,BPo
6/14/22,Outside,BP,BPo,,,38,62,40,15,0.24,1.27,BPo
6/14/22,Outside,BP,BPo,,,39,36,25,7,0.19,2.01,BPo
6/14/22,Outside,BP,BPo,,,40,41,33,14,0.34,0.69,BPo
6/14/22,Outside,BP,BPo,,,41,52,41,13,0.25,2.16,BPo
6/14/22,Outside,BP,BPo,,,42,44,27,9,0.20,1.81,BPo
6/14/22,Outside,BP,BPo,,,43,62,36,17,0.27,0.74,BPo
6/14/22,Outside,BP,BPo,,,44,40,28,13,0.33,0.06,BPo
6/14/22,Outside,BP,BPo,,,45,40,25,14,0.35,0.13,BPo
6/14/22,Outside,BP,BPo,,,46,47,30,11,0.23,1.14,BPo
6/14/22,Outside,BP,BPo,,,47,36,25,9,0.25,0.76,BPo
6/14/22,Outside,BP,BPo,,,48,49,32,15,0.31,0.08,BPo
6/14/22,Outside,BP,BPo,,,49,52,38,14,0.27,0.96,BPo
6/14/22,Outside,BP,BPo,,,50,44,30,11,0.25,0.86,BPo
6/14/22,Outside,BP,BPo,,,51,37,25,9,0.24,0.82,BPo
6/14/22,Outside,BP,BPo,,,52,59,31,12,0.20,2.99,BPo
6/14/22,Outside,BP,BPo,,,53,52,34,12,0.23,1.39,BPo
6/14/22,Outside,BP,BPo,,,54,53,33,12,0.23,1.48,BPo
6/14/22,Outside,BP,BPo,,,55,32,23,8,0.25,0.79,BPo
6/14/22,Outside,BP,BPo,,,56,42,29,11,0.26,0.65,BPo
6/14/22,Outside,BP,BPo,,,57,60,34,13,0.22,2.18,BPo
6/14/22,Outside,BP,BPo,,,58,59,40,15,0.25,1.02,BPo
6/14/22,Outside,BP,BPo,,,59,47,30,10,0.21,1.71,BPo
6/14/22,Outside,BP,BPo,,,60,52,32,10,0.19,2.60,BPo
6/14/22,Outside,BP,BPo,,,61,54,29,12,0.22,2.04,BPo
6/14/22,Outside,BP,BPo,,,62,51,39,12,0.24,2.21,BPo
6/14/22,Outside,BP,BPo,,,63,66,37,15,0.23,2.08,BPo
6/14/22,Outside,BP,BPo,,,64,62,33,12,0.19,3.46,BPo
6/14/22,Outside,BP,BPo,,,65,48,27,11,0.23,1.45,BPo
6/14/22,Outside,BP,BPo,,,66,52,36,13,0.25,1.08,BPo
6/14/22,Outside,BP,BPo,,,67,43,26,10,0.23,1.08,BPo
6/14/22,Outside,BP,BPo,,,68,43,21,10,0.23,1.96,BPo
6/14/22,Outside,BP,BPo,,,69,34,21,8,0.24,0.79,BPo
6/14/22,Outside,BP,BPo,,,70,33,21,7,0.21,1.21,BPo
6/14/22,Outside,BP,BPo,,,71,27,20,5,0.19,2.00,BPo
6/14/22,Outside,BP,BPo,,,72,38,28,12,0.32,0.26,BPo
6/14/22,Outside,BP,BPo,,,73,24,30,10,0.42,5.56,BPo
6/14/22,Outside,BP,BPo,,,74,25,22,6,0.24,2.06,BPo
6/14/22,Outside,BP,BPo,,,75,26,21,7,0.27,0.98,BPo
6/14/22,Outside,BP,BPo,,,76,44,32,12,0.27,0.73,BPo
6/14/22,Outside,BP,BPo,,,77,68,34,17,0.25,2.43,BPo
6/14/22,Outside,BP,BPo,,,78,68,39,16,0.24,1.77,BPo
6/14/22,Outside,BP,BPo,,,79,32,21,9,0.28,0.21,BPo
6/14/22,Outside,BP,BPo,,,80,42,31,10,0.24,1.47,BPo
6/14/22,Outside,BP,BPo,,,81,37,30,10,0.27,1.42,BPo
6/14/22,Outside,BP,BPo,,,82,38,26,11,0.29,0.23,BPo
6/14/22,Outside,BP,BPo,,,83,50,37,17,0.34,0.24,BPo
6/14/22,Outside,BP,BPo,,,84,40,28,11,0.28,0.47,BPo
6/14/22,Outside,BP,BPo,,,85,30,21,8,0.27,0.44,BPo
6/14/22,Outside,BP,BPo,,,86,47,29,12,0.26,0.69,BPo
6/14/22,Outside,BP,BPo,,,87,62,43,15,0.24,1.54,BPo
6/14/22,Outside,BP,BPo,,,88,43,30,16,0.37,0.15,BPo
6/14/22,Outside,BP,BPo,,,89,52,32,13,0.25,0.88,BPo
6/14/22,Outside,BP,BPo,,,90,52,28,14,0.27,1.06,BPo
6/14/22,Outside,BP,BPo,,,91,66,35,18,0.27,1.43,BPo
6/14/22,Outside,BP,BPo,,,92,31,20,11,0.35,0.06,BPo
6/14/22,Outside,BP,BPo,,,93,39,22,9,0.23,1.14,BPo
6/14/22,Outside,BP,BPo,,,94,60,35,15,0.25,1.14,BPo
6/14/22,Outside,BP,BPo,,,95,31,24,8,0.26,1.03,BPo
6/14/22,Outside,BP,BPo,,,96,27,24,12,0.44,1.29,BPo
6/14/22,Inside,FB,FBi,,1,1,38,24,8,0.21,1.43,1
6/14/22,Inside,FB,FBi,,1,2,44,27,11,0.25,0.74,1
6/14/22,Inside,FB,FBi,,1,3,52,34,11,0.21,1.99,1
6/14/22,Inside,FB,FBi,,1,4,54,41,12,0.22,2.71,1
6/14/22,Inside,FB,FBi,,1,5,44,29,12,0.27,0.40,1
6/14/22,Inside,FB,FBi,,1,6,29,22,12,0.41,0.46,1
6/14/22,Inside,FB,FBi,,1,7,54,44,20,0.37,0.98,1
6/14/22,Inside,FB,FBi,,1,8,46,35,12,0.26,1.31,1
6/14/22,Inside,FB,FBi,,1,9,47,28,10,0.21,1.71,1
6/14/22,Inside,FB,FBi,,1,10,67,40,18,0.27,0.78,1
6/14/22,Inside,FB,FBi,,1,11,51,39,11,0.22,2.87,1
6/14/22,Inside,FB,FBi,,1,12,57,36,13,0.23,1.55,1
6/14/22,Inside,FB,FBi,,1,13,65,41,13,0.20,2.91,1
6/14/22,Inside,FB,FBi,,1,14,57,40,20,0.35,0.08,1
6/14/22,Inside,FB,FBi,,1,15,45,37,11,0.24,2.52,1
6/14/22,Inside,FB,FBi,,1,16,62,30,12,0.19,4.19,1
6/14/22,Inside,FB,FBi,,1,17,53,46,20,0.38,1.72,1
6/14/22,Inside,FB,FBi,,1,18,60,30,15,0.25,2.14,1
6/14/22,Inside,FB,FBi,,1,19,47,32,11,0.23,1.29,1
6/14/22,Inside,FB,FBi,,1,20,29,22,12,0.41,0.46,1
6/14/22,Inside,FB,FBi,,1,21,35,27,10,0.29,0.74,1
6/14/22,Inside,FB,FBi,,1,22,35,22,9,0.26,0.48,1
6/14/22,Inside,FB,FBi,,1,23,40,35,10,0.25,2.94,1
6/14/22,Inside,FB,FBi,,1,24,57,35,10,0.18,3.62,1
6/14/22,Inside,FB,FBi,,1,25,35,26,10,0.29,0.52,1
6/14/22,Inside,FB,FBi,,1,26,52,30,13,0.25,1.02,1
6/14/22,Inside,FB,FBi,,1,27,55,36,10,0.18,3.34,1
6/14/22,Inside,FB,FBi,,1,28,31,24,11,0.35,0.30,1
6/14/22,Inside,FB,FBi,,1,29,45,35,15,0.33,0.53,1
6/14/22,Inside,FB,FBi,,1,30,26,21,6,0.23,1.55,1
6/14/22,Inside,FB,FBi,,1,31,44,31,11,0.25,0.99,1
6/14/22,Inside,FB,FBi,,1,32,45,32,10,0.22,1.76,1
6/14/22,Inside,FB,FBi,,2,33,44,29,11,0.25,0.77,2
6/14/22,Inside,FB,FBi,,2,34,44,25,11,0.25,0.91,2
6/14/22,Inside,FB,FBi,,2,35,35,29,9,0.26,1.78,2
6/14/22,Inside,FB,FBi,,2,36,43,29,12,0.28,0.35,2
6/14/22,Inside,FB,FBi,,2,37,36,27,11,0.31,0.39,2
6/14/22,Inside,FB,FBi,,2,38,37,30,11,0.30,1.03,2
6/14/22,Inside,FB,FBi,,2,39,40,31,10,0.25,1.51,2
6/14/22,Inside,FB,FBi,,2,40,64,32,14,0.22,3.09,2
6/14/22,Inside,FB,FBi,,2,41,39,29,10,0.26,1.04,2
6/14/22,Inside,FB,FBi,,2,42,57,39,14,0.25,1.25,2
6/14/22,Inside,FB,FBi,,2,43,47,36,15,0.32,0.53,2
6/14/22,Inside,FB,FBi,,2,44,32,33,9,0.28,4.39,2
6/14/22,Inside,FB,FBi,,2,45,50,30,15,0.30,0.26,2
6/14/22,Inside,FB,FBi,,2,46,51,30,14,0.27,0.56,2
6/14/22,Inside,FB,FBi,,2,47,24,20,6,0.25,1.36,2
6/14/22,Inside,FB,FBi,,2,48,32,22,7,0.22,1.20,2
6/14/22,Inside,FB,FBi,,2,49,52,30,10,0.19,2.65,2
6/14/22,Inside,FB,FBi,,2,50,41,29,12,0.29,0.30,2
6/14/22,Inside,FB,FBi,,2,51,41,32,9,0.22,2.39,2
6/14/22,Inside,FB,FBi,,2,52,39,29,11,0.28,0.63,2
6/14/22,Inside,FB,FBi,,2,53,64,39,18,0.28,0.48,2
6/14/22,Inside,FB,FBi,,2,54,53,29,11,0.21,2.34,2
6/14/22,Inside,FB,FBi,,2,55,62,47,16,0.26,1.81,2
6/14/22,Inside,FB,FBi,,2,56,44,30,10,0.23,1.38,2
6/14/22,Inside,FB,FBi,,2,57,54,34,14,0.26,0.71,2
6/14/22,Inside,FB,FBi,,2,58,69,40,24,0.35,0.67,2
6/14/22,Inside,FB,FBi,,2,59,31,25,8,0.26,1.33,2
6/14/22,Inside,FB,FBi,,2,60,62,37,19,0.31,0.31,2
6/14/22,Inside,FB,FBi,,2,61,32,19,10,0.31,0.16,2
6/14/22,Inside,FB,FBi,,2,62,63,30,18,0.29,2.35,2
6/14/22,Inside,FB,FBi,,2,63,40,29,10,0.25,1.04,2
6/14/22,Inside,FB,FBi,,2,64,52,34,14,0.27,0.52,2
6/14/22,Inside,FB,FBi,,3,65,25,19,6,0.24,0.98,3
6/14/22,Inside,FB,FBi,,3,66,49,39,15,0.31,1.03,3
6/14/22,Inside,FB,FBi,,3,67,37,24,12,0.32,0.01,3
6/14/22,Inside,FB,FBi,,3,68,30,16,7,0.23,1.00,3
6/14/22,Inside,FB,FBi,,3,69,29,18,10,0.34,0.09,3
6/14/22,Inside,FB,FBi,,3,70,32,26,9,0.28,1.09,3
6/14/22,Inside,FB,FBi,,3,71,49,30,13,0.27,0.57,3
6/14/22,Inside,FB,FBi,,3,72,31,23,8,0.26,0.79,3
6/14/22,Inside,FB,FBi,,3,73,60,30,15,0.25,2.14,3
6/14/22,Inside,FB,FBi,,3,74,32,19,8,0.25,0.58,3
6/14/22,Inside,FB,FBi,,3,75,59,38,16,0.27,0.54,3
6/14/22,Inside,FB,FBi,,3,76,42,23,10,0.24,1.20,3
6/14/22,Inside,FB,FBi,,3,77,60,40,16,0.27,0.69,3
6/14/22,Inside,FB,FBi,,3,78,40,32,11,0.28,1.31,3
6/14/22,Inside,FB,FBi,,3,79,25,27,7,0.28,4.24,3
6/14/22,Inside,FB,FBi,,3,80,54,39,16,0.30,0.46,3
6/14/22,Inside,FB,FBi,,3,81,45,28,13,0.29,0.23,3
6/14/22,Inside,FB,FBi,,3,82,31,24,7,0.23,1.61,3
6/14/22,Inside,FB,FBi,,3,83,46,27,10,0.22,1.57,3
6/14/22,Inside,FB,FBi,,3,84,47,35,12,0.26,1.29,3
6/14/22,Inside,FB,FBi,,3,85,36,22,12,0.33,0.11,3
6/14/22,Inside,FB,FBi,,3,86,46,33,14,0.30,0.28,3
6/14/22,Inside,FB,FBi,,3,87,35,18,9,0.26,1.03,3
6/14/22,Inside,FB,FBi,,3,88,61,36,18,0.30,0.43,3
6/14/22,Inside,FB,FBi,,3,89,50,31,11,0.22,1.58,3
6/14/22,Inside,FB,FBi,,3,90,31,23,10,0.32,0.20,3
6/14/22,Inside,FB,FBi,,3,91,30,30,10,0.33,2.86,3
6/14/22,Inside,FB,FBi,,3,92,38,31,11,0.29,1.21,3
6/14/22,Inside,FB,FBi,,3,93,40,28,10,0.25,0.87,3
6/14/22,Inside,FB,FBi,,3,94,53,28,10,0.19,3.18,3
6/14/22,Inside,FB,FBi,,3,95,33,24,9,0.27,0.55,3
6/14/22,Inside,FB,FBi,,3,96,62,34,15,0.24,1.67,3
6/14/22,Outside,FB,FBo,,1,1,50,28,14,0.28,0.70,16
6/14/22,Outside,FB,FBo,,1,2,51,31,16,0.31,0.17,16
6/14/22,Outside,FB,FBo,,1,3,56,33,13,0.23,1.46,16
6/14/22,Outside,FB,FBo,,1,4,53,40,15,0.28,0.96,16
6/14/22,Outside,FB,FBo,,1,5,61,32,15,0.25,1.85,16
6/14/22,Outside,FB,FBo,,1,6,47,30,10,0.21,1.71,16
6/14/22,Outside,FB,FBo,,1,7,43,27,11,0.26,0.62,16
6/14/22,Outside,FB,FBo,,1,8,49,29,13,0.27,0.64,16
6/14/22,Outside,FB,FBo,,1,9,63,36,13,0.21,2.64,16
6/14/22,Outside,FB,FBo,,1,10,38,20,10,0.26,0.94,16
6/14/22,Outside,FB,FBo,,1,11,32,24,10,0.31,0.30,16
6/14/22,Outside,FB,FBo,,1,12,30,21,5,0.17,2.45,16
6/14/22,Outside,FB,FBo,,1,13,58,40,15,0.26,0.96,16
6/14/22,Outside,FB,FBo,,1,14,39,26,10,0.26,0.60,16
6/14/22,Outside,FB,FBo,,1,15,58,34,14,0.24,1.28,16
6/14/22,Outside,FB,FBo,,1,16,40,31,12,0.30,0.70,16
6/14/22,Outside,FB,FBo,,1,17,59,40,15,0.25,1.02,16
6/14/22,Outside,FB,FBo,,1,18,39,28,11,0.28,0.46,16
6/14/22,Outside,FB,FBo,,1,19,32,24,6,0.19,2.39,16
6/14/22,Outside,FB,FBo,,1,20,57,38,14,0.25,1.15,16
6/14/22,Outside,FB,FBo,,1,21,32,19,7,0.22,1.05,16
6/14/22,Outside,FB,FBo,,1,22,25,20,7,0.28,0.77,16
6/14/22,Outside,FB,FBo,,1,23,47,24,10,0.21,2.28,16
6/14/22,Outside,FB,FBo,,1,24,52,30,14,0.27,0.71,16
6/14/22,Outside,FB,FBo,,1,25,49,30,10,0.20,2.03,16
6/14/22,Outside,FB,FBo,,1,26,46,31,13,0.28,0.32,16
6/14/22,Outside,FB,FBo,,1,27,46,31,13,0.28,0.32,16
6/14/22,Outside,FB,FBo,,1,28,44,31,11,0.25,0.99,16
6/14/22,Outside,FB,FBo,,1,29,40,35,12,0.30,1.95,16
6/14/22,Outside,FB,FBo,,1,30,26,16,7,0.27,0.27,16
6/14/22,Outside,FB,FBo,,1,31,46,36,11,0.24,2.12,16
6/14/22,Outside,FB,FBo,,1,32,28,11,8,0.29,2.26,16
6/14/22,Outside,FB,FBo,,2,33,37,24,13,0.35,0.05,17
6/14/22,Outside,FB,FBo,,2,34,48,37,13,0.27,1.28,17
6/14/22,Outside,FB,FBo,,2,35,46,37,12,0.26,1.87,17
6/14/22,Outside,FB,FBo,,2,36,67,39,15,0.22,2.07,17
6/14/22,Outside,FB,FBo,,2,37,36,35,13,0.36,2.68,17
6/14/22,Outside,FB,FBo,,2,38,60,42,19,0.32,0.14,17
6/14/22,Outside,FB,FBo,,2,39,60,40,20,0.33,0.00,17
6/14/22,Outside,FB,FBo,,2,40,47,29,11,0.23,1.13,17
6/14/22,Outside,FB,FBo,,2,41,48,34,13,0.27,0.68,17
6/14/22,Outside,FB,FBo,,2,42,38,28,8,0.21,2.00,17
6/14/22,Outside,FB,FBo,,2,43,40,27,9,0.23,1.28,17
6/14/22,Outside,FB,FBo,,2,44,45,29,12,0.27,0.48,17
6/14/22,Outside,FB,FBo,,2,45,49,36,13,0.27,1.02,17
6/14/22,Outside,FB,FBo,,2,46,42,34,15,0.36,0.71,17
6/14/22,Outside,FB,FBo,,2,47,39,24,9,0.23,1.00,17
6/14/22,Outside,FB,FBo,,2,48,33,22,7,0.21,1.29,17
6/14/22,Outside,FB,FBo,,2,49,33,30,8,0.24,3.11,17
6/14/22,Outside,FB,FBo,,2,50,52,32,11,0.21,1.91,17
6/14/22,Outside,FB,FBo,,2,51,40,32,11,0.28,1.31,17
6/14/22,Outside,FB,FBo,,2,52,46,30,11,0.24,1.02,17
6/14/22,Outside,FB,FBo,,2,53,42,34,8,0.19,3.86,17
6/14/22,Outside,FB,FBo,,2,54,40,25,9,0.23,1.15,17
6/14/22,Outside,FB,FBo,,2,55,35,28,9,0.26,1.44,17
6/14/22,Outside,FB,FBo,,2,56,52,30,14,0.27,0.71,17
6/14/22,Outside,FB,FBo,,2,57,28,15,7,0.25,0.74,17
6/14/22,Outside,FB,FBo,,2,58,40,29,10,0.25,1.04,17
6/14/22,Outside,FB,FBo,,2,59,38,27,11,0.29,0.33,17
6/14/22,Outside,FB,FBo,,2,60,53,38,12,0.23,1.99,17
6/14/22,Outside,FB,FBo,,2,61,55,34,11,0.20,2.44,17
6/14/22,Outside,FB,FBo,,2,62,40,28,13,0.33,0.06,17
6/14/22,Outside,FB,FBo,,2,63,32,28,9,0.28,1.81,17
6/14/22,Outside,FB,FBo,,2,64,60,38,15,0.25,1.00,17
6/14/22,Outside,FB,FBo,,3,65,43,36,11,0.26,2.36,18
6/14/22,Outside,FB,FBo,,3,66,62,34,16,0.26,1.32,18
6/14/22,Outside,FB,FBo,,3,67,69,43,19,0.28,0.56,18
6/14/22,Outside,FB,FBo,,3,68,42,25,11,0.26,0.58,18
6/14/22,Outside,FB,FBo,,3,69,55,34,13,0.24,1.25,18
6/14/22,Outside,FB,FBo,,3,70,64,30,20,0.31,2.60,18
6/14/22,Outside,FB,FBo,,3,71,48,34,16,0.33,0.08,18
6/14/22,Outside,FB,FBo,,3,72,52,39,15,0.29,0.80,18
